instance_id\instance_name\encounter_id\encounter_name\dest_unit\dest_name\dest_flags\source_unit\source_name\source_flags\spell_id\spell_name\spell_description\can_apply_aura\dispel_name\is_boss_aura\is_harmful\is_helpful\is_nameplate_only\is_raid\is_stealable\event
2569\Aberrus, the Shadowed Crucible\1793\Dargrul the Underking\none\Colossal Draconic Golem\2632\\Colossal Draconic Golem\2632\411745\True Sight\\false\false\false\false\true\false\false\false\COMBAT_LOG_EVENT_UNFILTERED
2569\Aberrus, the Shadowed Crucible\1793\Dargrul the Underking\none\Phazön-Ragnaros\1300\\Phazön-Ragnaros\1300\2580\Find Minerals\Nearby mineral veins appear on the minimap.\false\false\false\false\true\false\false\false\COMBAT_LOG_EVENT_UNFILTERED
2569\Aberrus, the Shadowed Crucible\1793\Dargrul the Underking\none\Phazön-Ragnaros\1300\\Phazön-Ragnaros\1300\2383\Find Herbs\Nearby herb bushes appear on the minimap.\false\false\false\false\true\false\false\false\COMBAT_LOG_EVENT_UNFILTERED
2569\Aberrus, the Shadowed Crucible\1793\Dargrul the Underking\none\Phazön-Ragnaros\1300\\Phazön-Ragnaros\1300\381954\Spoils of Neltharus\\false\false\false\false\true\false\false\false\COMBAT_LOG_EVENT_UNFILTERED
2569\Aberrus, the Shadowed Crucible\1793\Dargrul the Underking\none\Phazön-Ragnaros\1300\\Phazön-Ragnaros\1300\21562\Power Word: Fortitude\Infuses the target with vitality, increasing their Stamina by 5% for 1 |4hour:hrs;. If the target is in your party or raid, all party and raid members will be affected.\false\false\false\false\true\false\false\false\COMBAT_LOG_EVENT_UNFILTERED
2569\Aberrus, the Shadowed Crucible\1793\Dargrul the Underking\none\Phazön-Ragnaros\1300\\Phazön-Ragnaros\1300\186403\Sign of Battle\Honor gains from Battleground objectives and wins increased by 50%.\false\false\false\false\true\false\false\false\COMBAT_LOG_EVENT_UNFILTERED
2569\Aberrus, the Shadowed Crucible\1793\Dargrul the Underking\none\Phazön-Ragnaros\1300\\Blæ-Area52\1300\372014\Visage\\false\false\false\false\true\false\false\false\COMBAT_LOG_EVENT_UNFILTERED
2569\Aberrus, the Shadowed Crucible\1793\Dargrul the Underking\none\Phazön-Ragnaros\1300\\Phazön-Ragnaros\1300\232698\Shadowform\Assume a Shadowform, increasing your spell damage dealt by 10%.\false\false\false\false\true\false\false\false\COMBAT_LOG_EVENT_UNFILTERED
2569\Aberrus, the Shadowed Crucible\1793\Dargrul the Underking\none\Phazön-Ragnaros\1300\\Pizzally-Illidan\132372\465\Devotion Aura\\false\false\false\false\true\false\false\false\COMBAT_LOG_EVENT_UNFILTERED
2569\Aberrus, the Shadowed Crucible\1793\Dargrul the Underking\none\Phazön-Ragnaros\1300\\Deremu-Mok'Nathal\1298\1126\Mark of the Wild\Infuse a friendly target with the power of the wild, increasing their Versatility by 3% for 60 minutes. If target is in your party or raid, all party and raid members will be affected. \false\false\false\false\true\false\false\false\COMBAT_LOG_EVENT_UNFILTERED
2569\Aberrus, the Shadowed Crucible\1793\Dargrul the Underking\none\Phazön-Ragnaros\1300\\Phazön-Ragnaros\1300\387336\Zone of Focus\\false\false\false\false\true\false\false\false\COMBAT_LOG_EVENT_UNFILTERED
2569\Aberrus, the Shadowed Crucible\1793\Dargrul the Underking\none\Felspells-Area52\1298\\Felspells-Area52\1298\2383\Find Herbs\Nearby herb bushes appear on the minimap.\false\false\false\false\true\false\false\false\COMBAT_LOG_EVENT_UNFILTERED
2569\Aberrus, the Shadowed Crucible\1793\Dargrul the Underking\none\Felspells-Area52\1298\\Felspells-Area52\1298\371353\Elemental Chaos: Frost\Grants Versatility and healing dealt by critical strikes is increased.\false\false\false\false\true\false\false\false\COMBAT_LOG_EVENT_UNFILTERED
2569\Aberrus, the Shadowed Crucible\1793\Dargrul the Underking\none\Felspells-Area52\1298\\Felspells-Area52\1298\186403\Sign of Battle\Honor gains from Battleground objectives and wins increased by 50%.\false\false\false\false\true\false\false\false\COMBAT_LOG_EVENT_UNFILTERED
